observation_name	ERR7901770 (Cav_A-1)	ERR7901771 (Cav_A-2)	ERR7901772 (Cav_B-1)	ERR7901773 (Cav_B-2)	ERR7901774 (Cav_C-1)	ERR7901775 (Cav_C-2)	ERR7901776 (Cav_D-1)	ERR7901777 (Cav_D-2)	ERR7901778 (Cav_E-1)	ERR7901779 (Cav_E-2)
Cluster_405	36	0	0	0	0	0	0	0	0	0
Cluster_406	41	0	0	0	0	0	0	0	0	0
Cluster_408	0	0	1	0	0	0	0	0	39	0
Cluster_410	0	0	1	0	0	0	0	0	45	0
Cluster_411	0	0	0	0	0	0	0	0	48	0
Cluster_413	34	0	0	0	0	0	0	0	0	0
Cluster_414	42	0	0	0	0	0	0	0	0	0
Cluster_415	36	0	0	0	0	0	0	0	0	0
Cluster_416	0	35	0	0	0	0	0	0	0	0
Cluster_417	16	0	0	39	0	0	0	0	1	0
Cluster_423	0	0	0	0	0	0	0	0	0	36
Cluster_424	0	0	0	0	0	0	0	0	0	42
Cluster_426	34	0	0	0	0	0	0	0	0	0
Cluster_427	37	0	0	0	0	0	0	0	0	0
Cluster_430	0	45	0	0	0	1	0	0	0	0
Cluster_431	0	22	0	0	0	0	0	0	16	0
Cluster_435	0	0	0	0	0	4	6	0	23	17
Cluster_436	0	0	0	0	0	0	0	0	11	25
Cluster_437	0	0	0	0	0	0	0	0	0	44
Cluster_438	35	0	0	0	0	0	0	0	0	0
Cluster_440	11	35	0	0	0	0	0	0	3	0
Cluster_450	34	0	0	0	0	0	0	0	0	0
Cluster_451	60	0	0	0	0	0	0	0	0	0
Cluster_455	6	6	6	10	1	2	1	4	3	3
Cluster_457	0	19	0	15	0	0	0	0	0	0
Cluster_459	0	0	0	1	0	0	0	0	37	0
Cluster_460	0	0	0	47	0	0	0	0	0	3
Cluster_467	0	0	1	0	0	0	0	0	10	29
Cluster_469	0	0	0	0	0	0	0	0	39	0
Cluster_470	0	0	0	0	0	0	0	0	0	42
Cluster_471	0	0	0	0	0	0	0	0	22	31
Cluster_475	37	0	0	0	0	0	0	0	0	0
Cluster_478	0	55	0	0	0	0	0	0	0	0
Cluster_481	1	0	1	14	1	12	0	0	30	1
Cluster_488	0	0	0	1	0	16	0	0	0	18
Cluster_492	0	0	0	0	0	0	0	0	0	38
Cluster_493	35	0	0	0	0	0	0	0	0	0
Cluster_494	37	0	0	0	0	0	0	0	0	0
Cluster_506	0	0	0	0	11	23	0	4	2	0
Cluster_511	0	0	0	0	0	0	0	0	40	0
Cluster_512	0	0	0	0	0	0	0	0	39	0
Cluster_515	51	32	0	3	0	0	1	0	2	2
Cluster_519	34	0	0	0	0	0	0	0	0	0
Cluster_528	0	0	0	43	0	0	0	0	0	0
Cluster_529	0	0	0	4	0	0	0	0	33	0
Cluster_536	0	0	0	0	7	33	0	4	0	0
Cluster_544	36	0	0	0	0	0	0	0	0	0
Cluster_568	0	0	0	0	0	0	0	0	60	0
Cluster_610	4	5	2	7	3	6	0	1	2	8
Cluster_626	0	0	0	0	0	0	0	0	39	0
Cluster_628	0	0	0	0	0	0	0	0	39	0
Cluster_630	0	0	0	0	0	0	0	0	34	0
Cluster_709	0	1	0	0	0	0	9	0	16	9
Cluster_727	32	3	0	2	0	0	0	0	0	0
Cluster_732	14	21	0	0	0	0	0	2	0	0
Cluster_820	0	0	0	0	0	0	0	0	43	0
